[16:10:08] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:15:28] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:15:34] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:15:43] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:15:49] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:15:58] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:16:04] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:16:13] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:16:19] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:16:28] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:16:34] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:16:43] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:16:49] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:16:58] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:17:04] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:17:13] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:17:19] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:17:28] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:17:34] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:17:43] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:17:49] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:17:58] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:18:04] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:18:13] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:18:19] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:18:28] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:18:34] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:18:43] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:18:49] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:18:58] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:19:04] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:19:13] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:19:19] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:19:28] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:19:34] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:19:43] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:19:49] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:19:58] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:20:04] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:20:13] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:20:19] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:20:28] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:20:34] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:20:43] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:20:49] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:20:58] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:21:04] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:21:13] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:21:19] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:21:28] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:21:34] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:21:43] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:21:49] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:21:58] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:22:04] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:22:13] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:22:19] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:22:28] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:22:34] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:22:43] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:22:49] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:22:58] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:23:04] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:23:13] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:23:19] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:23:28] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:23:34] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:23:43] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:23:49] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:23:58] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:24:04] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:24:13] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:24:19] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:24:28] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:24:34] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:24:43] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:24:49] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:24:58] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:25:04] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:25:13] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:25:19] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:25:28] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:25:34] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:25:43] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:25:49] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:25:58] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:26:04] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:26:13] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:26:19] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:26:28] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:26:34] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:26:43] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:26:49] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:26:58] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:27:04] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:27:13] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:27:19] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:27:28] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:27:34] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:27:43] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:27:49] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
[17:27:58] 循环异常，5秒后重试: invalid syntax (realtime_quotes.py, line 124)
